Time,Temp_F,DewTemp_F,RH_percent,WindSpeed_mph,SLP_mb
1:25p,83.7,83.1,32,2,836.6
1:30p,83.8,83.7,33,2,836.7
1:35p,84.1,83.9,32,2,836.7
1:40p,84.6,84.1,32,2,836.6
1:45p,85,84.6,31,2,836.6
1:50p,85.2,85,31,2,836.5
1:55p,85.4,85.2,32,2,836.6
2:00p,85.7,85.4,31,2,836.5
2:05p,86.1,85.7,31,2,836.5
2:10p,86.2,85.9,30,2,836.6
2:15p,85.8,85.2,31,3,836.8
2:20p,85.3,85.1,31,2,836.6
2:25p,85.4,85.2,32,0,836.5
2:30p,85.9,85.4,31,2,836.7
2:35p,85.8,85.2,31,2,836.8
2:40p,85.6,85.2,30,2,836.6
2:45p,85.7,85.6,30,3,836.6
2:50p,85.7,85.1,29,5,836.7
2:55p,85.1,84,29,6,836.5
3:00p,83.9,83.4,31,7,836.4
3:05p,83.4,82.8,32,5,836.6
3:10p,82.8,82.3,32,4,836.8
3:15p,82.2,81.6,31,4,836.8
3:20p,81.6,81.1,32,3,836.7
3:25p,81.2,80.9,31,3,836.9
3:30p,81,80.9,33,2,836.7
3:35p,81,80.7,30,2,836.9
3:40p,80.8,80.7,31,1,837
3:45p,81.2,80.8,31,1,836.8
3:50p,81.8,81.2,29,2,836.7
3:55p,82.2,81.8,31,3,836.7
4:00p,82.7,82.1,31,2,836.6
4:05p,82.6,82.2,31,2,836.4
4:10p,83.1,82.4,28,1,836.4
4:15p,83.8,83.1,28,1,836.4
4:20p,84.7,83.8,28,2,836.5
4:25p,85.1,84.7,27,2,836.4
4:30p,85.2,84.9,26,3,836.2
4:35p,84.9,84.7,26,3,836.2
4:40p,84.7,84.6,27,4,836.2
4:45p,84.5,84.1,26,5,836.2
4:50p,84.1,84,27,2,835.9
4:55p,84.1,83.8,27,2,835.9
5:00p,84.2,84.1,26,2,836
5:05p,84.3,84.2,26,2,836.1
5:10p,84.3,84.2,26,2,836
5:15p,84.3,84,26,1,835.9
5:20p,83.9,83.8,26,1,836
5:25p,84.2,83.8,26,2,836.2
5:30p,84.3,84.2,26,2,836.3
5:35p,84.2,83.6,33,4,836.2
5:40p,83.6,82.2,34,6,836.4
5:45p,82.2,81,35,7,836.6
5:50p,80.9,80.3,35,5,836.7
5:55p,80.2,80,34,3,836.8
6:00p,80.1,79.8,34,4,836.6
6:05p,79.8,79.7,33,2,836.7
6:10p,79.8,79.6,33,3,836.7
6:15p,79.8,79.6,33,3,836.7
6:20p,79.9,79.8,34,4,836.5
6:25p,80,79.8,34,3,836.7
6:30p,80.2,80,33,3,836.7
6:35p,80.2,80.1,32,3,836.8
6:40p,80.2,80.1,33,3,836.9
6:45p,80.2,79.9,33,3,836.9
6:50p,79.9,79.3,32,6,837.1
6:55p,79.3,78.8,33,6,837.3
7:00p,78.8,78.5,34,6,837.3
7:05p,78.6,78.5,34,5,837.3
7:10p,78.5,78.4,35,3,837.4
7:15p,78.5,78.2,35,4,837.6
7:20p,78.2,78,35,3,837.7
7:25p,78,77.8,35,3,837.7
7:30p,77.9,77.8,35,3,837.5
7:35p,77.8,77.5,36,3,837.6
7:40p,77.6,77.4,36,4,837.8
7:45p,77.4,77.2,36,3,837.9
7:50p,77.2,77,37,3,837.9
7:55p,77,76.7,37,3,837.9
8:00p,76.7,76.5,38,2,838
8:05p,76.5,76.3,38,2,838.2
8:10p,76.3,76.1,39,2,838.1
8:15p,76.1,75.8,39,3,838
8:20p,75.8,75.6,40,2,838.2
8:25p,75.6,75.4,40,4,838.4
8:30p,75.3,74.8,40,4,838.5
8:35p,74.7,74.4,41,3,838.7
8:40p,74.4,74,41,3,838.6
8:45p,74,73.9,42,2,838.8
8:50p,73.9,73.6,42,3,838.9
8:55p,73.6,73.4,42,2,839
9:00p,73.4,73.3,42,1,838.9
9:05p,73.3,73.1,43,1,839.1
9:10p,73.2,73,43,1,839.3
9:15p,73,72.9,43,1,839.4
9:20p,72.9,72.7,43,1,839.6
9:25p,72.7,72.6,43,2,839.7
9:30p,72.6,72.2,43,3,839.7
9:35p,72.2,72,44,2,840
9:40p,72,71.8,44,3,840.1
9:45p,71.8,71.7,44,1,840.1
9:50p,71.7,71.6,45,0,840.2
9:55p,71.6,71.5,44,1,840.4
10:00p,71.5,71.3,44,2,840.5
10:05p,71.3,71.1,45,1,840.6
10:10p,71.1,71,45,1,840.5
10:15p,70.9,70.9,45,0,840.5
10:20p,70.9,70.8,45,1,840.6
10:25p,70.8,70.7,46,0,840.7
10:30p,70.8,70.7,46,0,840.7
10:35p,70.8,70.8,46,1,840.6
10:40p,70.9,70.8,46,0,840.6
10:45p,71.1,70.9,46,0,840.7
10:50p,71.1,70.8,46,2,840.7
10:55p,70.8,70.6,46,2,840.5
11:00p,70.7,70.5,46,2,840.6
11:05p,70.5,70.4,46,4,840.6
11:10p,70.3,70.1,47,5,840.6
11:15p,70.1,70,47,3,840.5
11:20p,70.1,70,47,4,840.6
11:25p,69.9,69.8,47,5,840.6
11:30p,69.8,69.7,48,4,840.6
11:35p,69.7,69.6,47,3,840.6
11:40p,69.7,69.6,47,3,840.4
11:45p,69.6,69.5,47,4,840.5
11:50p,69.5,69.5,47,4,840.6
11:55p,69.6,69.5,47,4,840.7
12:00a,69.6,69.6,47,4,840.5
12:05a,69.6,69.6,47,4,840.6
12:10a,69.7,69.6,47,2,840.7
12:15a,69.7,69.7,47,3,840.7
12:20a,69.8,69.7,47,2,840.6
12:25a,69.9,69.7,47,1,840.6
12:30a,69.9,69.8,47,2,840.6
12:35a,70,69.9,47,1,840.5
12:40a,70.1,69.9,48,1,840.3
12:45a,70.2,70.1,48,1,840.3
12:50a,70.2,70.1,49,1,840.6
12:55a,70.1,69.9,49,1,840.7
1:00a,69.9,69.7,50,0,840.6
1:05a,69.7,69.6,50,0,840.6
1:10a,69.6,69.5,51,0,840.6
1:15a,69.5,69.3,51,0,840.6
1:20a,69.3,69.2,50,0,840.5
1:25a,69.4,69.2,54,0,840.5
1:30a,69.4,69.4,55,0,840.6
1:35a,69.4,68.7,54,4,841
1:40a,68.7,67.8,57,4,841.4
1:45a,67.8,67,58,4,841.6
1:50a,67,64.2,68,8,841.9
1:55a,64.1,62.2,75,7,841.7
2:00a,62.1,61.7,75,4,841.8
2:05a,61.7,61.6,75,3,841.6
2:10a,61.6,61.1,75,2,841.6
2:15a,61.1,60.8,77,2,841.5
2:20a,60.9,60.3,76,4,841.5
2:25a,60.2,59.9,80,3,841.4
2:30a,59.9,59.5,80,4,841.3
2:35a,59.5,59.2,81,5,841.4
2:40a,59.2,59.1,82,6,841.4
2:45a,59.1,59,81,5,841.4
2:50a,59.1,59.1,82,5,841.3
2:55a,59.1,59,83,5,841.2
3:00a,59.2,59,82,6,841.2
3:05a,59.5,59.2,80,5,841.1
3:10a,59.6,59.5,81,4,841.1
3:15a,59.5,59.4,80,4,841.1
3:20a,59.4,59.3,80,3,841.1
3:25a,59.4,59.3,81,5,841.1
3:30a,59.3,59.2,81,4,841
3:35a,59.2,59,81,5,841.1
3:40a,59,58.9,81,4,841.3
3:45a,58.9,58.6,82,4,841.4
3:50a,58.7,58.6,82,3,841.5
3:55a,58.7,58.7,83,1,841.6
4:00a,58.9,58.7,83,1,841.5
4:05a,59,58.9,83,1,841.5
4:10a,59.2,59,83,1,841.4
4:15a,59.3,59.2,82,1,841.3
4:20a,59.4,59.3,80,1,841.4
4:25a,59.5,59.4,80,1,841.5
4:30a,59.5,59.4,80,1,841.6
4:35a,59.5,59.4,79,1,841.6
4:40a,59.5,59.4,79,2,841.6
4:45a,59.5,59.4,79,1,841.7
4:50a,59.5,59.5,78,1,841.5
4:55a,59.5,59.4,78,1,841.5
5:00a,59.4,59.3,78,1,841.7
5:05a,59.3,59.1,78,1,841.7
5:10a,59.1,59,78,1,841.8
5:15a,59.1,58.9,78,1,841.6
5:20a,59,58.9,79,1,841.7
5:25a,58.9,58.8,79,1,841.8
5:30a,58.8,58.6,78,2,841.8
5:35a,58.6,58.4,78,1,841.8
5:40a,58.5,58.1,76,1,841.8
5:45a,58.1,58,76,1,841.8
5:50a,58,58,77,0,841.7
5:55a,58.2,58,77,2,841.7
6:00a,58.3,58.1,78,0,841.8
6:05a,58.4,58.2,78,1,841.6
6:10a,58.2,57.9,78,3,841.1
6:15a,57.9,57.8,79,2,840.9
6:20a,57.8,57.7,80,3,841.1
6:25a,57.8,57.7,81,3,841
6:30a,57.7,57.7,81,1,840.9
6:35a,57.7,57.6,81,1,840.9
6:40a,57.6,57.5,81,1,840.8
6:45a,57.5,57.4,82,1,840.7
6:50a,57.5,57.5,82,2,840.8
6:55a,57.7,57.5,82,1,840.8
7:00a,57.9,57.7,81,2,840.7
7:05a,58.2,57.9,81,1,840.7
7:10a,58.6,58.3,80,1,840.8
7:15a,58.7,58.6,80,1,840.8
7:20a,58.8,58.7,80,1,840.7
7:25a,58.9,58.8,80,2,840.6
7:30a,58.9,58.6,80,2,840.6
7:35a,58.6,58.4,81,2,840.2
7:40a,58.4,58.4,81,3,840.1
7:45a,58.5,58.4,82,1,840
7:50a,58.7,58.5,82,1,839.7
7:55a,58.8,58.6,82,1,839.5
8:00a,59,58.8,81,2,839.2
8:05a,59.5,59,81,2,839.2
8:10a,60.2,59.5,80,2,839.2
8:15a,60.5,60.1,79,2,839.1
8:20a,61,60.6,77,2,839.2
8:25a,61.3,61,77,1,839.3
8:30a,62.2,61.3,77,1,839.4
8:35a,63,62.3,75,2,839.6
8:40a,63.3,63,74,5,839.7
8:45a,63.3,62.7,75,6,839.9
8:50a,62.7,61.8,77,5,840
8:55a,61.8,60.6,79,6,840.2
9:00a,60.6,59.9,80,5,840.2
9:05a,59.9,59.6,81,5,840.4
9:10a,59.6,59.2,81,5,840.5
9:15a,59.2,59,82,5,840.5
9:20a,58.9,58.4,82,6,840.6
9:25a,58.3,57.1,83,6,840.6
9:30a,57,56.4,84,5,840.7
9:35a,56.4,56.1,85,5,840.8
9:40a,56,55.8,86,5,840.9
9:45a,55.8,55.5,85,5,840.9
9:50a,55.5,55.4,86,4,840.9
9:55a,55.4,55.3,86,4,840.9
10:00a,55.4,55.1,86,5,841
10:05a,55.3,55.1,85,2,841
10:10a,55.3,55.3,85,3,841.1
10:15a,55.3,55.2,84,4,841
10:20a,55.3,55.1,84,2,841.1
10:25a,55.3,55.2,85,2,841.1
10:30a,55.4,55.3,85,3,841.1
10:35a,55.4,55.4,85,2,841.1
10:40a,55.4,55.1,85,3,841.1
10:45a,55.2,55.1,86,2,841.1
10:50a,55.2,55.1,86,3,841.1
10:55a,55.3,55.2,86,2,841
11:00a,55.3,55.2,87,2,841
11:05a,55.4,55.2,88,3,841
11:10a,55.5,55.3,87,2,841
11:15a,55.6,55.5,87,3,841
11:20a,55.5,55.3,87,4,840.9
11:25a,55.3,55.2,87,2,840.9
11:30a,55.4,55.3,87,1,840.8
11:35a,55.7,55.4,87,2,840.8
11:40a,55.9,55.7,86,2,840.8
11:45a,56.3,56,86,2,840.7
11:50a,56.7,56.3,85,1,840.7
11:55a,57.1,56.7,84,2,840.6
12:00p,57.3,57.1,83,2,840.6
12:05p,57.6,57.3,82,2,840.6
12:10p,57.8,57.6,81,2,840.6
12:15p,58,57.8,80,2,840.6
12:20p,57.9,57.8,80,2,840.6
12:25p,57.8,57.8,80,2,840.5
12:30p,58,57.8,80,1,840.5
12:35p,58.2,58,80,2,840.5
12:40p,58.2,58.2,80,2,840.4
12:45p,58.3,58.2,80,2,840.3
12:50p,58.2,58.1,79,2,840.3
12:55p,58.1,58,80,1,840.3
1:00p,58.4,58.1,79,2,840.4
1:05p,58.5,58.4,79,2,840.4
1:10p,58.6,58.5,78,2,840.2
1:15p,58.6,58.5,79,1,840.1
1:20p,58.6,58.5,79,2,840.1
1:25p,58.8,58.6,79,1,840.2
1:30p,58.9,58.8,79,1,840
1:35p,59,58.7,79,2,840.1
1:40p,58.7,58.4,79,2,840.2
1:45p,58.4,58.3,80,2,840.2
1:50p,58.4,58.3,80,1,840.2
1:55p,58.4,58.2,80,4,840.2
2:00p,58.2,57.9,80,4,840.2
2:05p,57.9,57.8,80,4,840.3
2:10p,57.9,57.7,81,3,840.1
2:15p,58,57.8,81,3,840.2
2:20p,58,57.9,81,4,840.6
2:25p,58.3,58,80,5,840.4
2:30p,58.3,58.2,81,2,839.5
2:35p,58.3,58.1,81,2,839.6
2:40p,58.1,58.1,82,0,839.6
2:45p,58.2,58.1,82,0,839.6
2:50p,58.3,58.2,81,0,839.6
2:55p,58.4,58.3,81,1,839.7
3:00p,58.6,58.4,81,2,840.2
3:05p,58.8,58.6,81,3,840.1
3:10p,59,58.8,81,3,840.3
3:15p,59.3,59,80,3,840.6
3:20p,59.2,59.1,78,5,840.7
3:25p,59.1,59,79,3,840.5
3:30p,59.1,59.1,79,2,840.1
3:35p,59.2,59.1,79,2,840
3:40p,59.1,59,79,3,840.2
3:45p,59.3,59.1,79,3,840
3:50p,59.3,59.2,78,4,839.8
3:55p,59.5,59.2,78,3,839.4
4:00p,60.3,59.5,78,4,838.6
4:05p,60.5,60.3,76,3,838.9
4:10p,60.6,60.5,76,3,839.2
4:15p,60.8,60.6,75,4,838.8
4:20p,60.9,60.8,75,4,838.6
4:25p,60.9,60.8,76,3,838.6
4:30p,60.8,60.7,76,2,838.5
4:35p,61.1,60.7,76,2,838.8
4:40p,61.2,61.1,75,2,838.9
4:45p,61.4,61.2,75,3,839.1
4:50p,61.5,61.4,75,2,839
4:55p,61.5,61.4,75,2,839
5:00p,61.4,61.4,75,1,839.3
5:05p,61.5,61.3,75,1,839.4
5:10p,61.7,61.5,76,1,838.8
5:15p,61.8,61.6,76,5,838
5:20p,61.6,61.5,77,3,838.2
5:25p,61.8,61.5,77,3,838.1
5:30p,62,61.8,76,2,838.3
5:35p,62.6,62,75,2,838.6
5:40p,63.8,62.7,73,2,838.5
5:45p,64.1,63.8,71,3,838.7
5:50p,64.2,64.1,71,2,838.6
5:55p,64.6,64.3,70,2,838.6
6:00p,64.5,64,71,3,838.7
6:05p,64,63.6,72,4,838.6
6:10p,63.6,63.1,72,4,838.5
6:15p,63.1,62.9,73,4,838.5
6:20p,62.8,62.7,74,3,838.2
6:25p,62.8,62.7,72,2,838.1
6:30p,62.8,62.4,72,3,838.2
6:35p,62.4,62.2,73,4,838.1
6:40p,62.2,62.1,73,3,838.1
6:45p,62.4,62.2,72,2,838.1
6:50p,62.4,62.2,72,4,838
6:55p,62.2,61.8,72,3,838.2
7:00p,61.8,61.7,73,3,838.2
7:05p,61.7,61.6,74,3,838.5
7:10p,61.6,61.4,74,3,838.5
7:15p,61.4,61.3,74,2,838.8
7:20p,61.4,61.3,75,2,838.8
7:25p,61.4,61.3,74,2,838.7
7:30p,61.3,61.2,75,2,838.8
7:35p,61.2,61.2,74,2,838.8
7:40p,61.2,61.1,74,1,838.9
7:45p,61.1,61.1,74,1,839
7:50p,61.1,61,74,2,839.1
7:55p,60.9,60.8,74,3,839.2
8:00p,60.9,60.8,74,2,839.1
8:05p,60.9,60.8,74,3,839.1
8:10p,61,60.9,74,3,839.2
8:15p,60.9,60.7,75,3,839.3
8:20p,60.8,60.7,75,4,839.3
8:25p,60.7,60.7,75,4,839.4
8:30p,60.8,60.7,75,4,839.3
8:35p,60.8,60.7,75,4,839.4
8:40p,60.8,60.7,74,5,839.4
8:45p,60.8,60.7,74,5,839.4
8:50p,60.9,60.8,74,5,839.6
8:55p,60.9,60.9,75,5,839.7
9:00p,61.1,60.9,75,4,839.7
9:05p,61.2,61.1,74,3,839.7
9:10p,61.4,61.2,75,3,839.8
9:15p,61.5,61.4,74,2,839.9
9:20p,61.6,61.5,74,2,839.8
9:25p,61.7,61.6,76,2,839.8
9:30p,61.8,61.7,73,2,839.9
9:35p,61.9,61.8,73,3,839.8
9:40p,61.8,61.8,73,3,839.7
9:45p,61.8,61.7,72,3,839.6
9:50p,61.8,61.7,73,3,839.7
9:55p,61.7,61.6,73,5,839.5
10:00p,61.6,61.6,73,4,839.5
10:05p,61.7,61.6,72,3,839.5
10:10p,62,61.7,74,3,839.6
10:15p,62.2,62.1,72,3,839.5
10:20p,62.1,62.1,72,3,839.5
10:25p,62.1,62.1,71,2,839.4
10:30p,62.2,62.1,73,1,839.5
10:35p,62.2,62.1,74,0,839.4
10:40p,62.1,61.9,74,0,839.4
10:45p,62,61.8,75,0,839.4
10:50p,61.8,61.7,75,0,839.4
10:55p,61.7,61.7,75,0,839.3
11:00p,61.7,61.7,75,0,839.3
11:05p,61.7,61.7,75,0,839.3
11:10p,61.7,61.7,75,0,839.3
11:15p,61.7,61.7,75,0,839.3
11:20p,61.7,61.6,75,0,839.1
11:25p,61.6,61.4,75,0,839.1
11:30p,61.5,61.4,76,0,839.1
11:35p,61.4,61.2,76,0,839.1
11:40p,61.2,61,76,1,839
11:45p,61,60.9,76,0,839
11:50p,60.9,60.8,76,0,839
11:55p,60.8,60.7,76,0,838.9
